strategy,strategy_name,city,clickthrough_rate
A,折扣优惠,城市1,0.08745071229516849
A,折扣优惠,城市2,0.07792603548243224
A,折扣优惠,城市3,0.08971532807151039
A,折扣优惠,城市4,0.10284544784612037
A,折扣优惠,城市5,0.07648769937914997
A,折扣优惠,城市6,0.07648794564576229
A,折扣优惠,城市7,0.10368819223261087
A,折扣优惠,城市8,0.09151152093729363
A,折扣优惠,城市9,0.07295788421097572
A,折扣优惠,城市10,0.08813840065378947
B,会员积分,城市1,0.054438987686250453
B,会员积分,城市2,0.054411242957156915
B,会员积分,城市3,0.06290354725879241
B,会员积分,城市4,0.03704063706410642
B,会员积分,城市5,0.03930098600984361
B,会员积分,城市6,0.053252549649108326
B,会员积分,城市7,0.04784602655598691
B,会员积分,城市8,0.06377096799114329
B,会员积分,城市9,0.049103711093745464
B,会员积分,城市10,0.0430523555839765
C,免费赠品,城市1,0.06465648768921554
C,免费赠品,城市2,0.04774223699513465
C,免费赠品,城市3,0.05067528204687924
C,免费赠品,城市4,0.03575251813786544
C,免费赠品,城市5,0.04455617275474818
C,免费赠品,城市6,0.05110922589709866
C,免费赠品,城市7,0.03849006422577697
C,免费赠品,城市8,0.053756980183456725
C,免费赠品,城市9,0.04399361310081195
C,免费赠品,城市10,0.04708306250206724
D,限时秒杀,城市1,0.07796586775541206
D,限时秒杀,城市2,0.12704556369017875
D,限时秒杀,城市3,0.08973005550524132
D,限时秒杀,城市4,0.06884578142088199
D,限时秒杀,城市5,0.10645089824206377
D,限时秒杀,城市6,0.06558312700057956
D,限时秒杀,城市7,0.0941772719000951
D,限时秒杀,城市8,0.05080659752240448
D,限时秒杀,城市9,0.06343627902203139
D,限时秒杀,城市10,0.09393722471738247
